Designator,Footprint,Quantity,Value,LCSC Part #
BEEP1,JP2,1,PIEZOBEEPER,
"C1, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C27, C3, C31, C32, C33, C34, C35, C4, C41, C42, C43, C44, C45, C46, C47, C48, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C67, C68, C69, C70, C71",C0603,49,0.1u,
"C10, C11",C0603,2,1u,
"C26, C6, C86",E5-6,3,47u,
"C28, C36, C37, C38","E2,5-6",4,22u,
"C29, C30, C39, C40",C0603,4,18p,
"C49, C50, C51, C52",CP_Radial_D5.0mm_P2.50mm,4,22u,
C5,"E5-8,5",1,47u,
"C65, C66",C0805,2,22u,
"C7, C8",C0603,2,100n,
"C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85",0603,14,0.1u,
C9,C0603,1,1.0u Cer,
CN3,MA156_6-2_KEYED,1,PORT_CASSETTE_EDGE,
CN4,MA156_12-2_IEEE,1,PORT_IEEE_EDGE,
"D1, D5, D6, D8",D-5,4,1N4148,
"D10, D11, D2, D3, D4, D9",DO35-7,6,1N4148DO35-7,
"H1, H2, H3, H4, H5, H6, H7","3,2",7,MOUNT-HOLE3.2,
"IC1, IC13",TSOP-II-44_10.16x18.41mm_P0.8mm,2,512k x8 10ns SRAM,
"IC10, IC11",PLCC44,2,PIAPLCC,
IC16,SO24L,1,74LVC8T245SO24,
IC2,SO20W,1,74245DW,
IC3,SO14,1,7400D,
IC4,SO14,1,7486D,
IC5,DIL16,1,74145N,
IC6,SO14,1,74125D,
IC8,LQFP-32_5x5mm_P0.5mm,1,MAX3421E,
IC9,PLCC44,1,VIAPLCC,
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_14P,
"JP1, JP10, JP6",JP2,3,JP2E,
"JP11, JP12, JP2, JP3, JP4, JP5, JP8, JP9",JP1,8,JP1E,
JP7,JP4,1,JP4E,
LED1,LED3MM,1,LED3MM,
P1,C64KEYB,1,C64KEYB,
P2,FLAT24,1,IEEE488FLATCABLE,
P3,FLAT24,1,PETUSERPORT,
P6,JP6,1,CBMTAPE,
P7,C64KEYB,1,PETKEYBD,
Q2,TC26H,1,32kHz,
Q3,HC49_S,1,12MHz,
"R1, R2, R20, R21, R4",0805,5,33,
"R10, R11, R24, R33, R34, R35, R9",0805,7,10k,
"R12, R36",0204V,2,4k7,
"R13, R14, R15, R19, R37",0204V,5,470,
"R16, R38",0207_2V,2,5k1,
"R17, R22",0207_2V,2,390,
"R18, R31",0204V,2,100,
R23,0204_5,1,3k3,
R25,0207_2V,1,4k7,
"R26, R27, R28",0204V,3,1k,
R29,0207_2V,1,330,
R3,0207_2V,1,2k4,
"R30, R32",0204V,2,680,
R5,0204_5,1,2k2,
R6,0207_2V,1,10,
"R7, R8",0204V,2,68,
RN1,RN-9,1,10k,
"RN2, RN4",RN-9,2,2k4,
"RN3, RN5",RN-9,2,5k1,
S1,B3F-31XX,1,31-XX,
SN1,SOIC8,1,MCP48X2,
U$1,PLCC44,1,W65C816SPLCC,
U$11,JP6,1,PETSKEY_EXTRA,
U$12,GRAVITECH-SDCARD,1,SD-CARD-GRAVI,
U$13,MSOP10,1,MCP79510,
"U$14, U$4",DIL08,2,SPIFLASH,
U$16,PSOP-8-FIXED,1,AP2132BB,
U$2,TQFP144,1,XC6SLX9-TQG144,
U$3,TO92,1,DS1813,
"U$5, U$6",DIL20,2,74LS641,
U$7,FLAT10BOX,1,XILINXPROG,
U$8,PinHeader_1x07_P2.54mm_Vertical,1,JP7,
U$9,ETHOLIENC,1,ETHOLIENC,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOT-23-5,1,74LVC1G04,
USB1,USB-A-H,1,USB-A-H,
X1,1503_09,1,1503_09,
X2,HDR15RA,1,D-SUB15-HDR15RA,
X3,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,1,SG-8002CE,
